relative_path,size_bytes,category,num_lines
docs/source/_config.py,287,source,7
examples/adamss_finetuning/glue_adamss_asa_example.py,15224,source,382
examples/adamss_finetuning/glue_adamss_asa_manual_example.py,16825,source,411
examples/adamss_finetuning/image_classification_adamss_asa.py,17368,source,452
examples/adamss_finetuning/test_adamss_quick.py,4587,test,176
examples/alora_finetuning/alora_finetuning.py,9839,source,259
examples/arrow_multitask/arrow_phi3_mini.py,14755,source,383
examples/bdlora_finetuning/chat.py,1972,source,64
examples/beft_finetuning/beft_finetuning.py,4083,source,122
examples/boft_controlnet/__init__.py,0,setup,0
examples/boft_controlnet/eval.py,7514,source,206
examples/boft_controlnet/test_controlnet.py,4626,test,133
examples/boft_controlnet/train_controlnet.py,23446,source,544
examples/boft_controlnet/utils/__init__.py,2,setup,1
examples/boft_controlnet/utils/args_loader.py,18276,source,447
examples/boft_controlnet/utils/dataset.py,7942,source,207
examples/boft_controlnet/utils/light_controlnet.py,11179,source,263
examples/boft_controlnet/utils/pipeline_controlnet.py,23103,source,456
examples/boft_controlnet/utils/tracemalloc.py,2085,source,60
examples/boft_controlnet/utils/unet_2d_condition.py,13654,source,277
examples/boft_dreambooth/__init__.py,0,setup,0
examples/boft_dreambooth/train_dreambooth.py,28809,source,624
examples/boft_dreambooth/utils/__init__.py,0,setup,0
examples/boft_dreambooth/utils/args_loader.py,14502,source,363
examples/boft_dreambooth/utils/dataset.py,4528,source,126
examples/boft_dreambooth/utils/tracemalloc.py,2085,source,60
examples/cartridge_self_study/arxiv_synthesize.py,3518,source,95
examples/cartridge_self_study/arxiv_train.py,4317,source,105
examples/cartridge_self_study/synthesize.py,12883,source,368
examples/cartridge_self_study/train_distill.py,8949,source,212
examples/causal_language_modeling/peft_lora_clm_accelerate_ds_zero3_offload.py,16427,source,381
examples/conditional_generation/peft_adalora_seq2seq.py,5924,source,185
examples/conditional_generation/peft_lora_seq2seq_accelerate_ds_zero3_offload.py,13906,source,333
examples/conditional_generation/peft_lora_seq2seq_accelerate_fsdp.py,5858,source,145
examples/corda_finetuning/corda_finetuning.py,10611,source,276
examples/corda_finetuning/datautils.py,9284,source,235
examples/corda_finetuning/preprocess.py,4792,source,165
examples/deft_dreambooth/train_dreambooth.py,46902,source,1108
examples/deft_finetuning/deft_finetuning.py,7219,source,199
examples/delora_finetuning/delora_finetuning.py,6878,source,189
examples/dora_finetuning/dora-caching.py,4915,source,126
examples/dora_finetuning/dora_finetuning.py,7803,source,208
examples/ephemeral_gpu_offloading/load_with_dora.py,4627,source,103
examples/eva_finetuning/eva_finetuning.py,2989,source,96
examples/eva_finetuning/eva_finetuning_multi_accelerator.py,4136,source,132
examples/eva_finetuning/utils.py,3589,source,76
examples/feature_extraction/peft_lora_embedding_semantic_search.py,21474,source,502
examples/fp4_finetuning/finetune_fp4_opt_bnb_peft.py,6858,source,195
examples/frod_finetuning/frod_image_classification.py,6815,source,180
examples/frod_finetuning/frod_text_classification.py,4755,source,130
examples/glora_finetuning/glora_finetuning.py,8206,source,225
examples/gralora_finetuning/gralora_finetuning.py,7008,source,189
examples/hira_finetuning/hira_finetuning.py,7729,source,217
examples/hra_dreambooth/train_dreambooth.py,28456,source,620
examples/hra_dreambooth/utils/__init__.py,0,setup,0
examples/hra_dreambooth/utils/args_loader.py,14738,source,377
examples/hra_dreambooth/utils/dataset.py,4643,source,128
examples/hra_dreambooth/utils/tracemalloc.py,2200,source,62
examples/int8_training/fine_tune_blip2_int8.py,3649,source,104
examples/int8_training/peft_adalora_whisper_large_training.py,33749,source,817
examples/KappaTune/experiments_kappatune_peft.py,5792,source,162
examples/lily_finetuning/lily_finetuning.py,6863,source,190
examples/loftq_finetuning/int8_correction.py,11609,source,279
examples/loftq_finetuning/quantize_save_load.py,6817,source,193
examples/loftq_finetuning/train_gsm8k_llama.py,35749,source,851
examples/lora_dreambooth/convert_kohya_ss_sd_lora_to_peft.py,6807,source,175
examples/lora_dreambooth/convert_peft_sd_lora_to_kohya_ss.py,3725,source,100
examples/lora_dreambooth/train_dreambooth.py,47006,source,1107
examples/lora_finetuning_transformer_engine/lora_finetuning_te.py,12366,source,329
examples/lora_ga_finetuning/lora_ga_finetuning.py,9953,source,279
examples/lorafa_finetune/lorafa_finetuning.py,8230,source,221
examples/mica_finetuning/mica_finetuning.py,3099,source,80
examples/miss_finetuning/miss_finetuning.py,4204,source,109
examples/monteclora_finetuning/sequence_classification_finetune_monteclora.py,7999,source,203
examples/oft_dreambooth/train_dreambooth.py,47150,source,1115
examples/olora_finetuning/olora_finetuning.py,7315,source,199
examples/orthogonal_subspace_learning/osf_continual_learning.py,25445,source,693
examples/orthogonal_subspace_learning/utils.py,10297,source,304
examples/peanut_finetuning/peanut_finetuning.py,7422,source,207
examples/pissa_finetuning/pissa_finetuning.py,6415,source,150
examples/pissa_finetuning/preprocess.py,2661,source,69
examples/psoft_finetuning/psoft_finetuning.py,7219,source,182
examples/pvera/confidence_interval_generation.py,2995,source,75
examples/qalora_finetuning/qalora_gptq_finetuning.py,12855,source,356
examples/randlora_finetuning/randlora_finetuning.py,8961,source,230
examples/road_finetuning/road_finetuning.py,7512,source,203
examples/sequence_classification/peft_no_lora_accelerate.py,8141,source,214
examples/sft/train.py,5801,source,156
examples/sft/utils.py,9115,source,219
examples/shira_finetuning/shira_finetuning.py,8622,source,217
examples/stable_diffusion/convert_sd_adapter_to_peft.py,22836,source,517
examples/stable_diffusion/inc_flux_lora_hpu.py,2314,source,67
examples/stable_diffusion/train_dreambooth.py,52973,source,1275
examples/unilora_finetuning/unilora_finetuning.py,4969,source,124
examples/waveft_finetuning/waveft_finetuning.py,6999,source,189
examples/xlora/xlora_inference_mistralrs.py,930,source,25
method_comparison/__init__.py,0,setup,0
method_comparison/app.py,25087,source,609
method_comparison/app_embed.py,9958,source,254
method_comparison/image-gen/data.py,3922,source,102
method_comparison/image-gen/evaluate.py,9882,source,255
method_comparison/image-gen/run.py,28312,source,669
method_comparison/image-gen/utils.py,23421,source,596
method_comparison/MetaMathQA/data.py,5147,source,117
method_comparison/MetaMathQA/run.py,21643,source,530
method_comparison/MetaMathQA/utils.py,28140,source,727
method_comparison/peft-shop/app.py,68338,source,1330
method_comparison/processing.py,11664,source,343
method_comparison/sanitizer.py,4061,source,100
method_comparison/test_sanitizer.py,1432,test,38
method_comparison/text_generation_benchmark/data.py,3634,source,119
method_comparison/text_generation_benchmark/run.py,14474,source,358
method_comparison/text_generation_benchmark/run_base.py,7291,source,186
method_comparison/text_generation_benchmark/utils.py,18396,source,458
scripts/ci_clean_cache.py,2478,source,68
scripts/convert-bone-to-miss.py,2436,source,69
scripts/evaluate-lora-conversion.py,5867,source,156
scripts/generate_method_capabilities.py,33882,source,769
scripts/launch_notebook_mp.py,1598,source,47
scripts/log_reports.py,4926,source,144
scripts/stale.py,2402,source,65
scripts/train_memory.py,11185,source,276
setup.py,4845,setup,117
src/peft/__init__.py,8026,setup,326
src/peft/auto.py,9431,source,225
src/peft/config.py,17511,source,408
src/peft/functional.py,1318,source,34
src/peft/helpers.py,22592,source,577
src/peft/import_utils.py,7039,source,189
src/peft/mapping.py,3970,source,92
src/peft/mapping_func.py,6026,source,128
src/peft/mixed_model.py,21640,source,473
src/peft/optimizers/__init__.py,779,setup,19
src/peft/optimizers/lorafa.py,11634,source,255
src/peft/optimizers/loraplus.py,4856,source,121
src/peft/peft_model.py,175354,source,3503
src/peft/tuners/__init__.py,5379,setup,183
src/peft/tuners/_buffer_dict.py,5688,source,159
src/peft/tuners/adalora/__init__.py,1585,setup,51
src/peft/tuners/adalora/bnb.py,5568,source,142
src/peft/tuners/adalora/config.py,5796,source,108
src/peft/tuners/adalora/gptq.py,2743,source,71
src/peft/tuners/adalora/layer.py,22689,source,515
src/peft/tuners/adalora/model.py,15840,source,349
src/peft/tuners/adamss/__init__.py,1038,setup,32
src/peft/tuners/adamss/asa_callback.py,3299,source,90
src/peft/tuners/adamss/config.py,17687,source,349
src/peft/tuners/adamss/layer.py,29647,source,669
src/peft/tuners/adamss/model.py,11672,source,279
src/peft/tuners/adamss/utils.py,4975,source,130
src/peft/tuners/adaption_prompt/__init__.py,972,setup,23
src/peft/tuners/adaption_prompt/config.py,3245,source,88
src/peft/tuners/adaption_prompt/layer.py,9910,source,223
src/peft/tuners/adaption_prompt/model.py,8216,source,171
src/peft/tuners/adaption_prompt/utils.py,7337,source,154
src/peft/tuners/beft/__init__.py,933,setup,24
src/peft/tuners/beft/config.py,3430,source,73
src/peft/tuners/beft/layer.py,6746,source,166
src/peft/tuners/beft/model.py,3769,source,103
src/peft/tuners/boft/__init__.py,889,setup,24
src/peft/tuners/boft/config.py,9690,source,170
src/peft/tuners/boft/fbd/__init__.py,0,setup,0
src/peft/tuners/boft/layer.py,43031,source,1001
src/peft/tuners/boft/model.py,5306,source,141
src/peft/tuners/c3a/__init__.py,902,setup,23
src/peft/tuners/c3a/config.py,6961,source,137
src/peft/tuners/c3a/layer.py,8919,source,209
src/peft/tuners/c3a/model.py,3624,source,100
src/peft/tuners/c3a/utils.py,1815,source,48
src/peft/tuners/cartridge/__init__.py,887,setup,23
src/peft/tuners/cartridge/config.py,3583,source,74
src/peft/tuners/cartridge/model.py,4909,source,116
src/peft/tuners/cartridge/utils.py,9838,source,237
src/peft/tuners/cpt/__init__.py,853,setup,24
src/peft/tuners/cpt/config.py,4258,source,100
src/peft/tuners/cpt/model.py,8653,source,202
src/peft/tuners/deft/__init__.py,915,setup,24
src/peft/tuners/deft/config.py,11243,source,209
src/peft/tuners/deft/layer.py,18102,source,349
src/peft/tuners/deft/model.py,4520,source,109
src/peft/tuners/delora/__init__.py,935,setup,23
src/peft/tuners/delora/config.py,9413,source,162
src/peft/tuners/delora/layer.py,10755,source,274
src/peft/tuners/delora/model.py,3957,source,104
src/peft/tuners/fourierft/__init__.py,970,setup,24
src/peft/tuners/fourierft/config.py,12421,source,206
src/peft/tuners/fourierft/layer.py,9037,source,200
src/peft/tuners/fourierft/model.py,4737,source,118
src/peft/tuners/frod/__init__.py,923,setup,24
src/peft/tuners/frod/config.py,9558,source,192
src/peft/tuners/frod/layer.py,20237,source,433
src/peft/tuners/frod/model.py,13558,source,317
src/peft/tuners/glora/__init__.py,926,setup,24
src/peft/tuners/glora/config.py,6788,source,152
src/peft/tuners/glora/layer.py,17277,source,393
src/peft/tuners/glora/model.py,4259,source,115
src/peft/tuners/gralora/__init__.py,916,setup,24
src/peft/tuners/gralora/config.py,10408,source,186
src/peft/tuners/gralora/layer.py,16247,source,394
src/peft/tuners/gralora/model.py,4597,source,125
src/peft/tuners/hira/__init__.py,1386,setup,45
src/peft/tuners/hira/bnb.py,21352,source,471
src/peft/tuners/hira/config.py,9279,source,157
src/peft/tuners/hira/layer.py,32831,source,789
src/peft/tuners/hira/model.py,9152,source,225
